SampleID.x	X1	Moisture	SoilpH	WDRFBuffer	SolubleSalt	OrganicMatter	CO2C	TotalN	OrganicN	TotalOrganicC	Nitrate	Ammonium	InorganicNitrogen	TotalPhosphorus	InorganicPhosphorus	OrganicPhosphorus	Potassium	Calcium	Aluminum	Iron	Sulfur	Zinc	Manganese	Copper	Magnesium	Sodium	MAC	OrganicCN	OrganicNInorganicN	OrganicNRelease	OrganicNReserve	OrganicPRelease	OrganicPReserve	SoilHealthCalculation	AvailableN	AvailableP	AvailableK	pcoa1	pcoa2	SampleID.y	Treatment	Plot	SubPlot	Depth	Date	Burn	Disturbance	richness	virome
3U1AS	USV13	164.9651391	5.2	5.5	0.03	32.8	289	8	5	115	0.1	2.1	2.2	3	1	1.7	46	483	261	38	2.9	0.56	13.1	0.08	65	15	251.9	22.8	2.3	5	0	1.7	0	23.44	2.2	6.3	55.1	0.022351858	0.285559861	3U1AS	Control	U1	U1A	0-3cm	4/18/2021	Before	no	3256	yes
3U1BD	UDV14	40.53256424	5.8	5.8	0.04	16.2	195.2	17.8	14.5	204	0.4	2	2.4	2	0.5	1.8	66	370	478	52	2.7	0.14	13.4	0.14	42	17	95.5	14.1	6.1	14.5	0	1.8	0	21.8	5.1	5.3	78.7	0.127973558	0.276043284	3U1BD	Control	U1	U1B	3-6cm	4/18/2021	Before	no	2324	yes
3U1BS	USV14	159.0372116	5.6	5.8	0.05	20.8	208	8.3	5.1	112	0.3	2.1	2.4	3	0.7	1.9	60	469	361	55	2.8	0.27	16.2	0.12	43	14	186.3	21.9	2.1	5.1	0	1.9	0	17.6	2.3	6	71.5	0.125126402	0.280424038	3U1BS	Control	U1	U1B	0-3cm	4/18/2021	Before	no	2858	yes
3U2AD	UDV15	18.37392833	5.8	6	0.05	24.4	1100	14.7	11	121	0.2	2.4	2.6	2	0.9	1.3	75	960	310	88	4.7	0.41	14.3	0.17	97	16	912.5	10.9	4.3	11	0	1.3	0	58.51	4.1	5.1	90.2	0.092931796	-0.077778505	3U2AD	Control	U2	U2A	3-6cm	4/18/2021	Before	no	3002	yes
3U2AS	USV15	21.34254089	5.6	5.9	0.03	37.6	321	16.8	13.8	93	0.2	3.2	3.4	2	0.7	1.4	48	744	175	39	2.2	0.65	19.4	0.15	79	15	344.2	6.8	4.1	13.8	0	1.4	0	23.31	5.2	4.9	57.9	0.079747838	-0.049448564	3U2AS	Control	U2	U2A	0-3cm	4/18/2021	Before	no	3368	yes
3U2BD	UDV16	41.75538722	5.8	5.8	0.04	21.8	688	8.8	5.8	70	0.3	2.4	2.7	2	0.6	1	58	570	355	90	3.3	0.3	19.6	0.15	59	15	983.6	12	2.1	5.8	0	1	0	36.38	2.6	3.6	69.3	0.040534096	0.045116162	3U2BD	Control	U2	U2B	3-6cm	4/18/2021	Before	no	3528	yes
3U2BS	USV16	122.5910703	5.3	5.8	0.02	68	544	9.9	4.6	99	0.2	7.7	7.9	2	0.8	1.1	37	537	91	35	1.8	1.23	40.6	0.17	60	13	552	21.6	0.6	4.6	0	1.1	0	29.63	3.7	4.3	44.6	-0.059283979	0.027654551	3U2BS	Control	U2	U2B	0-3cm	4/18/2021	Before	no	4050	yes
4B1AD	BDV19	68.1854114	4.9	5.3	0.06	31.4	460	14.5	11.8	283	0.8	2.4	3.2	4	1.6	2.1	74	426	359	77	4.7	0.89	25.3	0.18	79	12	162.8	23.9	3.7	11.8	0	2.1	0	32.39	4.5	8.5	89.1	-0.312894873	0.008106019	4B1AD	Burn	B1	B1A	3-6cm	4/27/2021	After	yes	2923	yes
4B1AS	BSV19	124.1607775	4.7	5.3	0.07	74.4	696	9.5	5.7	198	0.1	5.4	5.5	5	3.7	1.5	56	416	71	23	3.4	1.43	23.3	0.46	90	13	352.2	34.4	1	5.7	0	1.5	0	39.33	3.4	11.9	67.5	-0.366198513	-0.027643251	4B1AS	Burn	B1	B1A	0-3cm	4/27/2021	After	yes	3077	yes
4B1BD	BDV20	59.36704829	4.6	5.1	0.06	37.2	976	12.8	10.3	244	0.6	2.7	3.3	5	2.8	2.1	78	324	250	59	4.5	1.53	14.5	0.17	106	10	399.3	23.7	3.1	10.3	0	2.1	0	54.72	4.1	11.3	93.5	-0.399380776	-0.026782872	4B1BD	Burn	B1	B1B	3-6cm	4/27/2021	After	yes	3632	yes
4B1BS	BSV20	175.5253579	4.9	5.6	0.09	82.6	876	15.2	9.2	211	0.5	9.8	10.3	8	5.4	2.4	75	366	50	21	4.4	2.65	37.4	0.28	122	10	415.7	22.9	0.9	9.2	0	2.4	0	48.94	5.9	17.9	89.6	-0.404013701	-0.043370317	4B1BS	Burn	B1	B1B	0-3cm	4/27/2021	After	yes	3792	yes
4B2AD	BDV21	46.65103671	5.1	5.3	0.08	23.5	376	17.2	7.6	172	3.8	6.3	10.1	3	1.4	2	57	368	326	77	4.3	0.81	17.6	0.2	87	12	218.3	22.6	0.8	7.6	0	2	0	27.71	5.3	8	68.5	-0.021082041	0.026462224	4B2AD	Burn	B2	B2A	3-6cm	4/27/2021	After	yes	2712	yes
4B2AS	BSV21	55.63363931	5.2	5.4	0.07	26.7	856	20	9.3	196	2.6	12.5	15.1	7	4.7	2.4	64	390	283	79	7.3	1.14	35.1	0.19	94	12	437.8	21	0.6	9.3	0	2.4	0	47.64	7.3	16.2	76.9	-0.039424538	0.02371708	4B2AS	Burn	B2	B2A	0-3cm	4/27/2021	After	yes	2771	yes
4B2BD	BDV22	24.22693238	6.1	6.2	0.21	15	360	48.5	25.6	310	0.9	35.5	36.4	10	8.1	2.2	77	726	329	64	26.9	0.95	69.2	0.11	95	15	116.2	12.1	0.7	25.6	0	2.2	0	31.26	18.6	23.7	92.3	0.063536361	-0.126569018	4B2BD	Burn	B2	B2B	3-6cm	4/27/2021	After	yes	872	yes
